x,y_1,y_2,y_3
0.2,1.2,1.2,1.2
0.4,1.42,1.405,1.4
0.6,1.68133333333333,1.66986145833333,1.605
0.8,1.99073294270833,2.04055131613159,1.845
1,2.35706845766421,2.55679412958464,2.12652491319444
